Id,Title,Labels,Iteration,Iteration Start,Iteration End,Type,Estimate,Current State,Created at,Accepted at,Deadline,Requested By,Description,URL,Owned By,Owned By,Owned By,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status
3157831,Manage Ticket Reservation,manage ticket reservation,,,,epic,,,"Nov 19, 2016",,,,"As a registered user, I wish to manage my reservation so that I can purchase ticket and reach to the destination quickly.",https://www.pivotaltracker.com/epic/show/3157831,,,,,,,,,,,,,
3157955,Manage Schedule,manage schedule,,,,epic,,,"Nov 19, 2016",,,,"As a staff, I want to manage the bus schedule information so that all the bus schedule will be updated in the first time.",https://www.pivotaltracker.com/epic/show/3157955,,,,,,,,,,,,,
3157839,Make Payment,payment,,,,epic,,,"Nov 19, 2016",,,,"As a registered user, I can make payment for my reservation so that I can complete my reservation",https://www.pivotaltracker.com/epic/show/3157839,,,,,,,,,,,,,
3157889,Login,login,,,,epic,,,"Nov 19, 2016",,,,"As a registered user, I can log into the system so that I can use the system for my daily task which is the ticketing service",https://www.pivotaltracker.com/epic/show/3157889,,,,,,,,,,,,,
3158489,Reporting,reporting,,,,epic,,,"Nov 20, 2016",,,,"As a staff, I can generate reports so that I can understand specific information with graphs",https://www.pivotaltracker.com/epic/show/3158489,,,,,,,,,,,,,
3158493,Manage Membership,manage membership,,,,epic,,,"Nov 20, 2016",,,,"As a staff, I can manage membership so that membership details are always up-to-date",https://www.pivotaltracker.com/epic/show/3158493,,,,,,,,,,,,,
3157877,Manage Staff Accounts,manage staff,,,,epic,,,"Nov 19, 2016",,,,"As a manager, I wish to manage all the staff accounts so that the staff information is up-to-date",https://www.pivotaltracker.com/epic/show/3157877,,,,,,,,,,,,,
3200935,Manage Driver,manage driver,,,,epic,,,"Dec 11, 2016",,,,"As a manager, I can manage driver information so that the driver information is always up-to-date.",https://www.pivotaltracker.com/epic/show/3200935,,,,,,,,,,,,,
3200937,Manage Route,manage route,,,,epic,,,"Dec 11, 2016",,,,"As a manager, I can manage route information so that the route information is always up-to-date",https://www.pivotaltracker.com/epic/show/3200937,,,,,,,,,,,,,
3200939,Manage Bus,manage bus,,,,epic,,,"Dec 11, 2016",,,,"As a manager, I can manage bus information so that the bus information is always up-to-date",https://www.pivotaltracker.com/epic/show/3200939,,,,,,,,,,,,,
3200941,Manage Price Rate,manage price rate,,,,epic,,,"Dec 11, 2016",,,,"As a manager, I can manage price rate information so that the price rate information is always up-to-date",https://www.pivotaltracker.com/epic/show/3200941,,,,,,,,,,,,,
134632881,Make Reservation,manage ticket reservation,3,"Dec 12, 2016","Dec 25, 2016",feature,3,accepted,"Nov 19, 2016","Dec 25, 2016",,Chong Zhan Yi,"A a registered user, I wish to create reservation so that i can purchase the ticket",https://www.pivotaltracker.com/story/show/134632881,KleistChia,Km Cho,Chong Zhan Yi,Plan the user interface,completed,Code the user interface,completed,Connect to database,completed,Code the function classes,completed,Test the function,completed
